NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,ANSWER_TYPE
1,0,1,6.276975697000125,14,3,0,0,wrong_1
2,0,1,12.478767574999438,14,3,0,0,wrong_1
3,0,-1,1.255183517999285,18,4,0,0,answer
4,0,1,0.2914263189995836,18,4,0,0,wrong_1
